linux,DPDK,eBPF
0.501,0.946,0.589
0.541,1.06,0.543
0.543,0.902,0.537
0.534,1.08,0.569
0.489,1.08,0.517
0.549,0.890,0.516
0.541,1.15,0.518
0.515,1.12,0.650
0.543,1.01,0.545
0.497,1.01,0.527
0.436,1.11,0.533
0.428,1.02,0.519
0.411,1.06,0.579
0.545,1.13,0.519
0.475,0.999,0.511
0.513,1.02,0.607
0.543,1.05,0.597
0.531,0.917,0.561
0.431,1.06,0.514
0.477,0.989,0.592
0.500,0.869,0.559
0.533,0.903,0.814
0.538,0.976,0.511
0.552,0.985,0.568
0.489,0.911,0.519
0.503,1.05,0.580
0.540,1.04,0.587
0.531,0.881,0.588
0.536,1.12,0.532
0.497,1.04,0.516
0.558,0.945,1.15
0.538,0.951,0.544
0.491,1.11,0.536
0.444,0.953,0.570
0.480,0.953,0.639
0.423,0.998,0.581
0.415,0.984,0.536
0.413,0.938,0.565
0.480,0.947,0.511
0.471,1.06,0.592
0.494,0.965,0.517
0.415,1.18,0.521
0.404,1.04,0.612
0.413,0.883,0.795
0.540,1.03,0.604
0.482,0.995,0.535
0.491,0.932,0.536
0.537,0.936,0.577
0.532,1.04,0.581
0.535,0.937,0.535
0.495,0.929,0.529
0.503,0.939,0.596
0.533,1.04,0.575
0.534,0.978,0.577
0.426,1.08,0.602
0.498,1.05,0.652
0.487,0.951,0.665
0.429,1.17,0.742
0.545,1.02,0.714
0.430,0.877,0.520
0.487,0.950,0.531
0.496,1.03,0.599
0.543,0.923,0.549
0.417,0.933,0.597
0.552,0.932,0.597
0.495,0.976,0.597
0.491,0.916,0.559
0.535,0.871,0.578
0.540,1.07,0.609
0.556,0.929,0.536
0.496,0.936,0.600
0.497,0.988,0.575
0.554,1.04,0.606
0.536,0.918,0.603
0.453,1.04,0.522
0.498,1.02,0.962
0.493,0.912,0.571
0.540,0.929,0.595
0.543,1.64,0.598
0.555,0.918,0.644
0.510,0.920,0.609
0.484,1.02,0.609
0.555,0.920,0.657
1.45,1.08,0.643
0.485,0.968,0.534
0.516,0.869,0.525
0.506,1.06,0.514
0.499,1.04,0.525
0.432,0.913,0.699
0.486,0.919,0.518
0.487,1.04,0.521
0.406,0.967,0.533
0.420,0.865,0.522
0.498,1.02,0.592
0.483,0.962,0.574
0.486,0.932,0.557
0.486,0.994,0.510
0.403,0.985,0.641
0.521,0.871,0.575
0.417,0.912,0.566
0.511,1.04,0.557
0.490,1.03,0.567
0.439,0.915,0.704
0.418,0.891,0.537
0.404,0.984,0.541
0.488,0.930,0.591
0.484,1.06,0.577
0.435,0.979,0.550
0.406,0.862,0.581
0.408,0.911,0.569
0.548,1.04,0.501
0.467,0.967,0.616
0.491,0.912,0.627
