bigflood,bigfloodDPDK,bigfloodeBPF,flood,floodDPDK,floodeBPF,ping,pingDPDK,pingeBPF
0.432,1.04,0.512,0.039,0.264,0.052,0.121,0.383,0.188
0.407,1.10,0.635,0.040,0.277,0.050,0.122,0.382,0.178
0.387,0.884,0.561,0.039,0.262,0.050,0.121,0.387,0.191
0.406,1.12,0.823,0.039,0.275,0.051,0.117,0.383,0.209
0.405,1.11,0.511,0.040,0.280,0.050,0.123,1.51,0.197
0.409,1.01,0.537,0.039,0.275,0.049,0.122,0.379,0.207
0.504,1.01,0.529,0.039,0.336,0.053,0.142,0.381,0.183
0.464,1.13,0.525,0.039,0.284,0.050,0.122,0.381,0.167
0.414,0.881,0.512,0.039,0.260,0.050,0.123,0.379,0.173
0.401,1.03,0.590,0.039,0.268,0.048,0.122,0.383,0.172
0.400,0.996,0.577,0.039,0.265,0.051,0.121,0.380,0.198
0.507,1.01,0.559,0.040,0.265,0.051,0.120,0.378,0.186
0.424,1.12,0.628,0.039,0.269,0.051,0.092,0.388,0.162
0.473,1.12,0.582,0.039,0.268,0.047,0.121,0.379,0.177
0.475,0.878,0.515,0.041,0.230,0.051,0.113,0.385,0.163
0.410,1.02,0.534,0.038,0.273,0.049,0.120,0.385,0.199
0.402,1.12,0.549,0.039,0.280,0.051,0.121,0.378,0.174
0.475,1.01,0.595,0.039,0.279,0.049,0.121,0.384,0.166
0.480,1.01,0.514,0.038,0.291,0.050,0.121,0.384,0.184
0.479,1.13,0.528,0.040,0.282,0.050,0.120,0.380,0.165
0.381,1.00,0.615,0.039,0.280,0.050,0.121,0.382,0.180
0.516,1.02,0.646,0.038,0.275,0.050,0.088,0.386,0.191
0.403,1.00,0.636,0.039,0.277,0.053,0.120,1.49,0.154
0.472,1.01,0.517,0.039,0.261,0.048,0.120,0.378,0.177
0.460,1.02,0.518,0.039,0.270,0.052,0.124,0.373,0.170
0.478,1.02,0.526,0.038,0.235,0.050,0.122,0.385,0.162
0.524,1.00,0.827,0.039,0.260,0.051,0.120,0.380,0.206
0.411,1.02,0.554,0.039,0.276,0.050,0.121,0.379,0.167
0.412,1.11,0.532,0.039,0.283,0.050,0.121,0.378,0.185
